id,name,price,description
1,Saturn,9953.15,Adaptive dedicated function
2,Ford,8460.79,Open-architected regional interface
3,Subaru,8400.13,Multi-tiered full-range architecture
4,Hyundai,9944.63,Team-oriented user-facing encryption
5,Lexus,3480.93,Vision-oriented mobile architecture
6,Dodge,1868.91,Down-sized background paradigm
7,GMC,2144.63,Adaptive high-level toolset
8,Volvo,7791.28,Integrated bifurcated encoding
9,Chevrolet,7773.63,Sharable zero administration superstructure
10,Bentley,4633.34,Pre-emptive needs-based secured line
11,Pontiac,8653.02,Function-based bifurcated utilisation
12,Studebaker,8319.31,Cross-platform zero defect array
13,Subaru,4985.86,Sharable homogeneous framework
14,GMC,792.06,Open-architected bi-directional website
15,Oldsmobile,5949.16,Intuitive 5th generation process improvement
16,GMC,9819.66,Programmable full-range moderator
17,Chrysler,5412.24,Profound next generation algorithm
18,Volkswagen,6970.12,Open-source empowering leverage
19,Cadillac,2443.07,Realigned reciprocal help-desk
20,Hyundai,6809.05,Virtual motivating open system
21,Volkswagen,2568.11,Organic coherent project
22,Mazda,8445.78,Intuitive dynamic customer loyalty
23,Pontiac,5234.74,Virtual impactful process improvement
24,Pontiac,3682.02,Grass-roots systematic concept
25,Ford,7225.19,Proactive encompassing portal
26,Aston Martin,5407.69,Synergistic 6th generation superstructure
27,Volvo,7170.44,Reactive encompassing policy
28,Jaguar,5453.57,Versatile scalable architecture
29,Volkswagen,3365.8,Inverse dynamic migration
30,Jaguar,6809.51,Fully-configurable neutral architecture
31,Jeep,7622.07,Focused well-modulated focus group
32,Oldsmobile,297.23,Right-sized zero defect solution
33,Toyota,6893.6,Total clear-thinking protocol
34,Mercedes-Benz,787.25,Expanded homogeneous complexity
35,Acura,1144.96,Expanded leading edge leverage
36,Kia,1600.7,Function-based context-sensitive toolset
37,Porsche,1876.41,Upgradable dedicated internet solution
38,Chevrolet,5774.77,Secured fault-tolerant framework
39,Chevrolet,2158.77,Cross-platform methodical hardware
40,Volkswagen,3828.3,Managed asynchronous capacity
41,Oldsmobile,4689.87,Reactive regional moderator
42,Toyota,3541.53,Balanced secondary open system
43,Isuzu,852.94,Multi-channelled multi-state project
44,Ford,708.94,Switchable next generation encoding
45,Tesla,2216.74,Organic holistic functionalities
46,Mazda,9226.27,Secured maximized implementation
47,Dodge,1029.19,Progressive upward-trending orchestration
48,Chevrolet,6833.79,Object-based didactic synergy
49,Mazda,976.31,Down-sized full-range access
50,Lexus,9625.94,Self-enabling client-driven emulation
51,Pontiac,171.7,Optional attitude-oriented internet solution
52,Oldsmobile,5826.64,Advanced context-sensitive budgetary management
53,Audi,5393.14,Re-contextualized directional software
54,Volvo,9118.04,Intuitive dynamic functionalities
55,Kia,5517.75,Cloned web-enabled policy
56,Toyota,705.51,Object-based interactive knowledge user
57,Land Rover,8454.26,Right-sized multimedia conglomeration
58,Infiniti,8469.3,Customizable demand-driven hub
59,Toyota,5162.4,Robust coherent contingency
60,Ford,5701.11,Persistent grid-enabled orchestration
61,Saab,3923.52,Decentralized actuating product
62,Toyota,7468.6,Secured zero defect algorithm
63,Chevrolet,9581.47,Team-oriented grid-enabled open architecture
64,Lamborghini,2940.99,Multi-layered 6th generation encoding
